alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.3,0.2,0.1,20.0,2.0,1.0,1.0,5,True,1,0.9136456174795777,1,5,fanout,True,True
0.5,0.3,0.2,0.1,40.0,0.5,1.0,1.0,6,True,3,1.3523072738320245,1,6,fanout,True,True
0.5,0.3,0.2,0.1,40.0,1.0,1.0,1.0,6,True,2,1.2020325422335136,1,6,fanout,True,True
0.5,0.3,0.2,0.1,40.0,2.0,1.0,1.0,6,True,1,0.9923054816556791,1,6,fanout,True,True
0.5,0.3,0.2,0.1,80.0,0.5,1.0,1.0,7,True,3,1.4395010514332751,1,7,fanout,True,True
0.5,0.3,0.2,0.1,80.0,1.0,1.0,1.0,7,True,2,1.2863808607741596,1,7,fanout,True,True
0.5,0.3,0.2,0.1,80.0,2.0,1.0,1.0,7,True,2,1.0851435359455377,1,7,fanout,True,True
0.5,0.5,0.05,0.01,10.0,0.5,1.0,1.0,8,True,4,1.7076619733607268,1,8,fanout,True,True
0.5,0.5,0.05,0.01,10.0,1.0,1.0,1.0,8,True,3,1.615678776492602,1,8,fanout,True,True
0.5,0.5,0.05,0.01,10.0,2.0,1.0,1.0,8,True,3,1.4764514338473156,1,8,fanout,True,True
0.5,0.5,0.05,0.01,20.0,0.5,1.0,1.0,10,True,5,1.7739516615050575,1,10,fanout,True,True
0.5,0.5,0.05,0.01,20.0,1.0,1.0,1.0,10,True,4,1.6994700096294302,1,10,fanout,True,True
0.5,0.5,0.05,0.01,20.0,2.0,1.0,1.0,10,True,3,1.5791813924674845,1,10,fanout,True,True
0.5,0.5,0.05,0.01,40.0,0.5,1.0,1.0,11,True,5,1.8293896213312812,1,11,fanout,True,True
0.5,0.5,0.05,0.01,40.0,1.0,1.0,1.0,11,True,5,1.7663720772529898,1,11,fanout,True,True
0.5,0.5,0.05,0.01,40.0,2.0,1.0,1.0,11,True,4,1.6657088397308522,1,11,fanout,True,True
0.5,0.5,0.05,0.01,80.0,0.5,1.0,1.0,12,True,6,1.8718386630159585,1,12,fanout,True,True
0.5,0.5,0.05,0.01,80.0,1.0,1.0,1.0,12,True,5,1.8229178161992066,1,12,fanout,True,True
0.5,0.5,0.05,0.01,80.0,2.0,1.0,1.0,12,True,4,1.7389677003335153,1,12,fanout,True,True
0.5,0.5,0.05,0.02,10.0,0.5,1.0,1.0,7,True,3,1.6264223326743366,1,7,fanout,True,True
0.5,0.5,0.05,0.02,10.0,1.0,1.0,1.0,7,True,3,1.5220505337162753,1,7,fanout,True,True
0.5,0.5,0.05,0.02,10.0,2.0,1.0,1.0,7,True,2,1.3726054030686912,1,7,fanout,True,True
0.5,0.5,0.05,0.02,20.0,0.5,1.0,1.0,9,True,4,1.7087558948222292,1,9,fanout,True,True
0.5,0.5,0.05,0.02,20.0,1.0,1.0,1.0,9,True,3,1.6165681858363496,1,9,fanout,True,True
0.5,0.5,0.05,0.02,20.0,2.0,1.0,1.0,9,True,3,1.4777009371195724,1,9,fanout,True,True
0.5,0.5,0.05,0.02,40.0,0.5,1.0,1.0,10,True,5,1.7745346964555522,1,10,fanout,True,True
0.5,0.5,0.05,0.02,40.0,1.0,1.0,1.0,10,True,4,1.7000193645792019,1,10,fanout,True,True
0.5,0.5,0.05,0.02,40.0,2.0,1.0,1.0,10,True,3,1.5796674950268377,1,10,fanout,True,True
0.5,0.5,0.05,0.02,80.0,0.5,1.0,1.0,11,True,5,1.8296004387836866,1,11,fanout,True,True
0.5,0.5,0.05,0.02,80.0,1.0,1.0,1.0,11,True,5,1.7666676939693826,1,11,fanout,True,True
0.5,0.5,0.05,0.02,80.0,2.0,1.0,1.0,11,True,4,1.6660111920882061,1,11,fanout,True,True
0.5,0.5,0.05,0.05,10.0,0.5,1.0,1.0,6,True,3,1.4970266330935253,1,6,fanout,True,True
