n,alpha_spread,capacity,sum_kstar,rho,regime,all_clients_concave,greedy_obj,dp_obj,milp_obj,greedy_minus_dp,dp_minus_milp,greedy_is_optimal,alloc_matches_dp,greedy_alloc,dp_alloc
5,0.0,11,25,2.272727272727273,binding,True,11.350141331177241,11.350141331177241,11.350141331177241,0.0,0.0,True,True,3|2|2|2|2,3|2|2|2|2
5,0.0,12,25,2.0833333333333335,binding,True,11.672259316441409,11.672259316441409,11.672259316441409,0.0,0.0,True,True,3|3|2|2|2,3|3|2|2|2
5,0.0,13,25,1.9230769230769231,binding,True,11.994377301705576,11.994377301705576,11.994377301705576,0.0,0.0,True,True,3|3|3|2|2,3|3|3|2|2
5,0.0,14,25,1.7857142857142858,binding,True,12.316495286969744,12.316495286969744,12.316495286969744,0.0,0.0,True,True,3|3|3|3|2,3|3|3|3|2
5,0.0,15,25,1.6666666666666667,binding,True,12.638613272233911,12.638613272233911,12.638613272233911,0.0,0.0,True,True,3|3|3|3|3,3|3|3|3|3
5,0.0,16,25,1.5625,binding,True,12.821365537799359,12.821365537799359,12.821365537799359,0.0,0.0,True,True,4|3|3|3|3,4|3|3|3|3
5,0.0,17,25,1.4705882352941178,binding,True,13.004117803364807,13.004117803364807,13.004117803364807,0.0,0.0,True,True,4|4|3|3|3,4|4|3|3|3
5,0.0,18,25,1.3888888888888888,binding,True,13.186870068930254,13.186870068930254,13.186870068930254,0.0,0.0,True,True,4|4|4|3|3,4|4|4|3|3
5,0.0,19,25,1.3157894736842106,binding,True,13.369622334495702,13.369622334495702,13.369622334495702,0.0,0.0,True,True,4|4|4|4|3,4|4|4|4|3
5,0.0,20,25,1.25,binding,True,13.55237460006115,13.55237460006115,13.55237460006115,0.0,0.0,True,True,4|4|4|4|4,4|4|4|4|4
5,0.0,21,25,1.1904761904761905,binding,True,13.607091501319246,13.607091501319246,13.607091501319246,0.0,0.0,True,True,5|4|4|4|4,5|4|4|4|4
5,0.0,22,25,1.1363636363636365,binding,True,13.661808402577343,13.661808402577343,13.661808402577345,0.0,-1.7763568394002505e-15,True,True,5|5|4|4|4,5|5|4|4|4
5,0.0,23,25,1.0869565217391304,binding,True,13.71652530383544,13.71652530383544,13.716525303835441,0.0,-1.7763568394002505e-15,True,True,5|5|5|4|4,5|5|5|4|4
5,0.0,24,25,1.0416666666666667,binding,True,13.771242205093536,13.771242205093536,13.771242205093536,0.0,0.0,True,True,5|5|5|5|4,5|5|5|5|4
5,0.0,25,25,1.0,slack,True,13.825959106351632,13.825959106351632,13.825959106351632,0.0,0.0,True,True,5|5|5|5|5,5|5|5|5|5
5,0.0,26,25,0.9615384615384616,slack,True,13.825959106351632,13.825959106351632,13.825959106351624,0.0,8.881784197001252e-15,True,True,5|5|5|5|5,5|5|5|5|5
5,0.0,27,25,0.9259259259259259,slack,True,13.825959106351632,13.825959106351632,13.825959106351638,0.0,-5.329070518200751e-15,True,True,5|5|5|5|5,5|5|5|5|5
5,0.0,28,25,0.8928571428571429,slack,True,13.825959106351632,13.825959106351632,13.82595910635163,0.0,1.7763568394002505e-15,True,True,5|5|5|5|5,5|5|5|5|5
5,0.0,29,25,0.8620689655172413,slack,True,13.825959106351632,13.825959106351632,13.825959106351629,0.0,3.552713678800501e-15,True,True,5|5|5|5|5,5|5|5|5|5
5,0.1,5,24,4.8,binding,True,8.562133062853768,8.562133062853768,8.562133062853768,0.0,0.0,True,True,1|1|1|1|1,1|1|1|1|1
5,0.1,6,24,4.0,binding,True,9.208281826694993,9.208281826694993,9.208281826694993,0.0,0.0,True,True,1|1|1|1|2,1|1|1|1|2
5,0.1,7,24,3.4285714285714284,binding,True,9.775091593378644,9.775091593378644,9.775091593378644,0.0,0.0,True,True,1|1|1|2|2,1|1|1|2|2
5,0.1,8,24,3.0,binding,True,10.268562430647236,10.268562430647236,10.268562430647236,0.0,0.0,True,True,1|1|1|2|3,1|1|1|2|3
5,0.1,9,24,2.6666666666666665,binding,True,10.761908837710655,10.761908837710655,10.761908837710655,0.0,0.0,True,True,1|1|2|2|3,1|1|2|2|3
5,0.1,10,24,2.4,binding,True,11.187354606171978,11.187354606171978,11.187354606171978,0.0,0.0,True,True,1|2|2|2|3,1|2|2|2|3
5,0.1,11,24,2.1818181818181817,binding,True,11.588517680805275,11.588517680805275,11.588517680805277,0.0,-1.7763568394002505e-15,True,True,1|2|2|3|3,1|2|2|3|3
5,0.1,12,24,2.0,binding,True,11.951407373099428,11.951407373099428,11.951407373099428,0.0,0.0,True,True,2|2|2|3|3,2|2|2|3|3
5,0.1,13,24,1.8461538461538463,binding,True,12.297228965964585,12.297228965964585,12.297228965964585,0.0,0.0,True,True,2|2|2|3|4,2|2|2|3|4
5,0.1,14,24,1.7142857142857142,binding,True,12.619346951228753,12.619346951228753,12.619346951228753,0.0,0.0,True,True,2|2|3|3|4,2|2|3|3|4
5,0.1,15,24,1.6,binding,True,12.874041914588485,12.874041914588485,12.874041914588485,0.0,0.0,True,True,2|3|3|3|4,2|3|3|3|4
5,0.1,16,24,1.5,binding,True,13.128389399473576,13.128389399473576,13.128389399473576,0.0,0.0,True,True,2|3|3|4|4,2|3|3|4|4
5,0.1,17,24,1.411764705882353,binding,True,13.325967560301036,13.325967560301036,13.325967560301036,0.0,0.0,True,True,3|3|3|4|4,3|3|3|4|4
5,0.1,18,24,1.3333333333333333,binding,True,13.511170006568436,13.511170006568436,13.511170006568436,0.0,0.0,True,True,3|3|3|4|5,3|3|3|4|5
